AccessionName	Accession_ID	Surroundingcoverage	Windowcoverage	TDcopy
F1-201	3968	12.8602132622	17.1011235955	1.32976982938
F1-201	3968	12.8602132622	23.5742821473	1.83311751264
F1-201	3968	12.8602132622	27.7702871411	2.15939553838
F1-201	3968	12.8602132622	25.595505618	1.99028624923
F1-201	3968	12.8602132622	28.1897627965	2.19201363318
F1-201	3968	12.8602132622	29.5630461923	2.29879906261
F1-201	3968	12.8602132622	31.0786516854	2.41665134564
F1-201	3968	12.8602132622	32.2696629213	2.50926343625
F1-201	3968	12.8602132622	29.822721598	2.31899121654
F1-201	3968	12.8602132622	28.0574282147	2.18172340089
F1-201	3968	12.8602132622	22.8401997503	1.77603584673
F1-201	3968	12.8602132622	23.9388264669	1.86146419027
F1-201	3968	12.8602132622	24.9850187266	1.94281527196
F1-201	3968	12.8602132622	21.493133583	1.67128904822
F1-201	3968	12.8602132622	24.0212234707	1.86787131604
F1-201	3968	12.8602132622	28.4781523096	2.21443857336
F1-201	3968	12.8602132622	29.936329588	2.32782528389
F1-201	3968	12.8602132622	29.695380774	2.3090892949
F1-201	3968	12.8602132622	28.304619226	2.20094477819
F1-201	3968	12.8602132622	25.8539325843	2.01038132549
F1-201	3968	12.8602132622	27.4244694132	2.13250502569
F1-201	3968	12.8602132622	31.0087390762	2.4112149965
F1-201	3968	12.8602132622	31.8664169788	2.47790735106
F1-201	3968	12.8602132622	27.2034956305	2.11532227932
F1-201	3968	12.8602132622	23.9463171036	1.86204665625
F1-201	3968	12.8602132622	27.0761548065	2.10542035768
F1-201	3968	12.8602132622	29.5880149813	2.30074061588
F1-201	3968	12.8602132622	29.3470661673	2.28200462689
F1-201	3968	12.8602132622	29.5418227216	2.29714874234
F1-201	3968	12.8602132622	28.34082397	2.20376003042
F1-201	3968	12.8602132622	21.9775280899	1.70895518151
F1-201	3968	12.8602132622	21.8589263421	1.69973280352
F1-201	3968	12.8602132622	27.4194756554	2.13211671504
F1-201	3968	12.8602132622	25.102372035	1.9519405723
F1-201	3968	12.8602132622	21.2921348315	1.65565954446
F1-201	3968	12.8602132622	24.2059925094	1.88223881018
F1-201	3968	12.8602132622	24.8714107366	1.93398120462
F1-201	3968	12.8602132622	21.3745318352	1.66206667023
F1-201	3968	12.8602132622	21.0237203496	1.63478784689
F1-201	3968	12.8602132622	23.2197253433	1.80554745632
F1-201	3968	12.8602132622	25.6279650437	1.99281026847
F1-201	3968	12.8602132622	22.808988764	1.77360890515
F1-201	3968	12.8602132622	21.4644194757	1.66905626197
F1-201	3968	12.8602132622	22.5930087391	1.75681446943
F1-201	3968	12.8602132622	19.0411985019	1.48062851786
F1-201	3968	12.8602132622	20.7003745318	1.60964473214
F1-201	3968	12.8602132622	26.2734082397	2.0429994203
F1-201	3968	12.8602132622	25.7415730337	2.00164433581
F1-201	3968	12.8602132622	22.0599250936	1.71536230728
F1-201	3968	12.8602132622	25.6441947566	1.99407227809
F1-201	3968	12.8602132622	28.2734082397	2.19851783661
F1-201	3968	12.8602132622	22.5730337079	1.75526122682
F1-201	3968	12.8602132622	18.4469413233	1.43441955022
F1-201	3968	12.8602132622	21.3433208489	1.65963972865
F1-201	3968	12.8602132622	31.0674157303	2.41577764667
F1-201	3968	12.8602132622	35.0873907615	2.72836772191
F1-201	3968	12.8602132622	30.468164794	2.36918036837
F1-201	3968	12.8602132622	24.8564294632	1.93281627266
